monkeypox-2500_53_LEFT	monkeypox-2500_53_RIGHT
monkeypox-2500_54_LEFT	monkeypox-2500_54_RIGHT
monkeypox-2500_55_LEFT	monkeypox-2500_55_RIGHT
monkeypox-2500_56_LEFT	monkeypox-2500_56_RIGHT
monkeypox-2500_57_LEFT	monkeypox-2500_57_RIGHT
monkeypox-2500_58_LEFT	monkeypox-2500_58_RIGHT
monkeypox-2500_59_LEFT	monkeypox-2500_59_RIGHT
monkeypox-2500_6_LEFT	monkeypox-2500_6_RIGHT
monkeypox-2500_60_LEFT	monkeypox-2500_60_RIGHT
monkeypox-2500_61_LEFT	monkeypox-2500_61_RIGHT
monkeypox-2500_62_LEFT	monkeypox-2500_62_RIGHT
monkeypox-2500_63_LEFT	monkeypox-2500_63_RIGHT
monkeypox-2500_64_LEFT	monkeypox-2500_64_RIGHT
monkeypox-2500_65_LEFT	monkeypox-2500_65_RIGHT
monkeypox-2500_66_LEFT	monkeypox-2500_66_RIGHT
monkeypox-2500_67_LEFT	monkeypox-2500_67_RIGHT
monkeypox-2500_68_LEFT	monkeypox-2500_68_RIGHT
monkeypox-2500_69_LEFT	monkeypox-2500_69_RIGHT
monkeypox-2500_7_LEFT	monkeypox-2500_7_RIGHT
monkeypox-2500_70_LEFT	monkeypox-2500_70_RIGHT
monkeypox-2500_71_LEFT	monkeypox-2500_71_RIGHT
monkeypox-2500_72_LEFT	monkeypox-2500_72_RIGHT
monkeypox-2500_73_LEFT	monkeypox-2500_73_RIGHT
monkeypox-2500_74_LEFT	monkeypox-2500_74_RIGHT
monkeypox-2500_75_LEFT	monkeypox-2500_75_RIGHT
monkeypox-2500_76_LEFT	monkeypox-2500_76_RIGHT
monkeypox-2500_77_LEFT	monkeypox-2500_77_RIGHT
monkeypox-2500_78_LEFT	monkeypox-2500_78_RIGHT
monkeypox-2500_79_LEFT	monkeypox-2500_79_RIGHT
monkeypox-2500_8_LEFT	monkeypox-2500_8_RIGHT
monkeypox-2500_80_LEFT	monkeypox-2500_80_RIGHT
monkeypox-2500_81_LEFT	monkeypox-2500_81_RIGHT
monkeypox-2500_82_LEFT	monkeypox-2500_82_RIGHT
